Movie,Cast,Release_year
Safaid Khoon,"Rani, Santosh, Mohammad Ali, Asif Jah",1964
Sangam,"Rosy, Haroon, Sumita, Khalil",1964
Shaadi,"Chitra, Deep, Nasima Khan, Jalil Afghani",1964
Shabab,"Shamim Ara, Darpan, Deeba, Talish, Nazar",1964
Shatranj,"Rani, Habib, Saqi, Sikander",1964
Shikari,"Shamim Ara, Darpan, Rukhsana, Asif Jah",1964
Shukriya,"Rukhsana, Habib, Sabira, Allauddin",1964
Tanha,"Shamim Ara, Haroon, Sh. Hasan, Naina",1964
Tauba,"Zeba, Kamal Irani, Lehri, Kumar, Talish",1964
Wah Bhai Wah,"Laila, Akmal Khan, Yusuf, Ajmal",1964
Yeh Bhi Ek Kahani,"Chitra, Haroon, Hina, Badarudin, Misbahudin",1964
Aakhri Station,"Rani, Haroon, Shabnam, Subhash Dutta, Akbar",1965
Aisa Bhi Hota He,"Zeba, Syed Kamal, Nirala, Saloni",1965
Arzoo,"Hanif, Tarranum, Talat Siddiqui, Ibrahim Nafees",1965
Aurat,"Rani, Habib, Firdous, Talish",1965
Azmat-e-Islam,"Sawarn Lata, Habib, Shamim, Chand",1965
Bahana,"Kabori, Rahman, Garaj Babu",1965
Bahu Begum,"Sabira, Habib, Waheed Murad, Deeba",1965
